date,commits,self_review,time_first_review_staff,time_first_review_total,time_first_review_volunteer,time_plus2_staff,time_plus2_total,time_plus2_volunteer
2012-06-25,4,0,0,0,0,0,0,0
2012-06-26,0,0,0,0,0,0,0,0
2012-06-27,3,0,0,0,0,0,0,0
2012-06-28,1,0,0,0,0,0,0,0
2012-06-29,3,0,0,0,0,0,0,0
2012-06-30,1,0,0,0,0,0,0,0
2012-07-01,1,0,0,0,0,0,0,0
2012-07-02,1,0,0,0,0,0,0,0
2012-07-03,2,0,0,0,0,0,0,0
2012-07-04,4,0,0,0,0,0,0,0
2012-07-05,0,0,0,0,0,0,0,0
2012-07-06,0,0,0,0,0,0,0,0
2012-07-07,1,0,0,0,0,0,0,0
2012-07-08,0,0,0,0,0,0,0,0
2012-07-09,0,0,0,0,0,0,0,0
2012-06-25,4,0,0,0,0,0,0,0
2012-06-26,0,0,0,0,0,0,0,0
2012-06-27,3,0,0,0,0,0,0,0
2012-06-28,1,0,0,0,0,0,0,0
2012-06-29,3,0,0,0,0,0,0,0
2012-06-30,1,0,0,0,0,0,0,0
2012-07-01,1,0,0,0,0,0,0,0
2012-07-02,1,0,0,0,0,0,0,0
2012-07-03,2,0,0,0,0,0,0,0
2012-07-04,4,0,0,0,0,0,0,0
2012-07-05,0,0,0,0,0,0,0,0
2012-07-06,0,0,0,0,0,0,0,0
2012-07-07,1,0,0,0,0,0,0,0
2012-07-08,0,0,0,0,0,0,0,0
2012-07-09,0,0,0,0,0,0,0,0
2012-06-25,4,0,0,0,0,0,0,0
2012-06-26,0,0,0,0,0,0,0,0
2012-06-27,3,0,0,0,0,0,0,0
2012-06-28,1,0,0,0,0,0,0,0
2012-06-29,3,0,0,0,0,0,0,0
2012-06-30,1,0,0,0,0,0,0,0
2012-07-01,1,0,0,0,0,0,0,0
2012-07-02,1,0,0,0,0,0,0,0
2012-07-03,2,0,0,0,0,0,0,0
2012-07-04,4,0,0,0,0,0,0,0
2012-07-05,0,0,0,0,0,0,0,0
2012-07-06,0,0,0,0,0,0,0,0
2012-07-07,1,0,0,0,0,0,0,0
2012-07-08,0,0,0,0,0,0,0,0
2012-07-09,0,0,0,0,0,0,0,0
2012-06-25,4,0,0,0,0,0,0,0
2012-06-26,0,0,0,0,0,0,0,0
2012-06-27,3,0,0,0,0,0,0,0
2012-06-28,1,0,0,0,0,0,0,0
2012-06-29,3,0,0,0,0,0,0,0
2012-06-30,1,0,0,0,0,0,0,0
2012-07-01,1,0,0,0,0,0,0,0
2012-07-02,1,0,0,0,0,0,0,0
2012-07-03,2,0,0,0,0,0,0,0
2012-07-04,4,0,0,0,0,0,0,0
2012-07-05,0,0,0,0,0,0,0,0
2012-07-06,0,0,0,0,0,0,0,0
2012-07-07,1,0,0,0,0,0,0,0
2012-07-08,0,0,0,0,0,0,0,0
2012-07-09,0,0,0,0,0,0,0,0
2012-06-25,4,0,0,0,0,0,0,0
2012-06-26,0,0,0,0,0,0,0,0
2012-06-27,3,0,0,0,0,0,0,0
2012-06-28,1,0,0,0,0,0,0,0
2012-06-29,3,0,0,0,0,0,0,0
2012-06-30,1,0,0,0,0,0,0,0
2012-07-01,1,0,0,0,0,0,0,0
2012-07-02,1,0,0,0,0,0,0,0
2012-07-03,2,0,0,0,0,0,0,0
2012-07-04,4,0,0,0,0,0,0,0
2012-07-05,0,0,0,0,0,0,0,0
2012-07-06,0,0,0,0,0,0,0,0
2012-07-07,1,0,0,0,0,0,0,0
2012-07-08,0,0,0,0,0,0,0,0
2012-07-09,0,0,0,0,0,0,0,0
2012-07-10,0,0,0,0,0,0,0,0
2012-06-25,4,0,0,0,0,0,0,0
2012-06-26,0,0,0,0,0,0,0,0
2012-06-27,3,0,0,0,0,0,0,0
2012-06-28,1,0,0,0,0,0,0,0
2012-06-29,3,0,0,0,0,0,0,0
2012-06-30,1,0,0,0,0,0,0,0
2012-07-01,1,0,0,0,0,0,0,0
2012-07-02,1,0,0,0,0,0,0,0
2012-07-03,2,0,0,0,0,0,0,0
2012-07-04,4,0,0,0,0,0,0,0
2012-07-05,0,0,0,0,0,0,0,0
2012-07-06,0,0,0,0,0,0,0,0
2012-07-07,1,0,0,0,0,0,0,0
2012-07-08,0,0,0,0,0,0,0,0
2012-07-09,0,0,0,0,0,0,0,0
2012-07-10,3,0,0,0,0,0,0,0
2012-07-11,0,0,0,0,0,0,0,0
2012-07-12,0,0,0,0,0,0,0,0
2012-07-13,0,0,0,0,0,0,0,0
2012-07-14,0,0,0,0,0,0,0,0
2012-07-15,0,0,0,0,0,0,0,0
2012-07-16,0,0,0,0,0,0,0,0
2012-07-17,0,0,0,0,0,0,0,0
2012-07-18,0,0,0,0,0,0,0,0
2012-07-19,0,0,0,0,0,0,0,0
2012-07-20,0,0,0,0,0,0,0,0
2012-07-21,0,0,0,0,0,0,0,0
2012-07-22,0,0,0,0,0,0,0,0
2012-07-23,0,0,0,0,0,0,0,0
2012-07-24,0,0,0,0,0,0,0,0
