date,commits,self_review,waiting_first_review_staff,waiting_first_review_total,waiting_first_review_volunteer,waiting_plus2_staff,waiting_plus2_total,waiting_plus2_volunteer
2012/07/28,0,0,0,0,0,0,0,0
2012/07/29,0,0,0,0,0,2,2,0
2012/07/30,4,1,0,0,0,2,2,0
2012/07/31,2,0,0,0,0,3,3,0
2012/08/01,4,1,0,0,0,2,2,0
2012/08/02,1,0,0,0,0,7,7,0
2012/08/03,8,2,2,2,0,0,0,0
2012/08/04,1,0,3,3,0,0,0,0
2012/08/05,0,0,3,3,0,4,8,4
2012/08/06,8,1,0,0,0,6,6,0
2012/08/07,5,2,1,1,0,4,4,0
2012/08/08,5,2,1,1,0,5,5,0
2012/08/09,3,1,0,0,0,5,7,2
2012/08/10,8,1,1,1,0,0,0,0
2012/08/11,0,0,1,1,0,0,0,0
2012/08/12,2,0,3,3,0,0,0,0
2012/08/13,3,0,3,3,0,4,5,1
2012/08/14,2,0,2,2,0,3,4,1
2012/08/15,3,0,1,1,0,3,3,0
2012/08/16,2,0,1,1,0,2,2,0
2012/08/17,2,0,1,1,0,1,1,0
2012/08/18,1,0,2,2,0,2,2,0
2012/08/19,1,0,2,2,0,2,2,0
2012/08/20,1,1,2,2,0,3,3,0
2012/08/21,2,1,2,2,0,4,4,0
2012/08/22,5,1,2,2,0,6,6,0
2012/08/23,5,3,1,1,0,6,6,0
2012/08/24,6,0,1,2,1,1,1,0
2012/08/25,1,1,2,3,1,1,1,0
2012/08/26,2,0,3,5,2,3,3,0
2012/08/27,0,0,1,3,2,5,6,1
2012/08/28,2,1,0,1,1,4,4,0
2012/08/29,4,0,0,1,1,6,6,0
2012/08/30,5,0,2,3,1,2,2,0
2012/08/31,0,0,2,3,1,2,2,0
2012/09/01,0,0,2,3,1,2,2,0
2012/09/02,0,0,2,3,1,2,2,0
2012/09/03,0,0,2,3,1,5,5,0
2012/09/04,2,0,0,2,2,6,6,0
2012/09/05,6,2,1,4,3,6,6,0
2012/09/06,6,1,2,5,3,5,7,2
2012/09/07,4,1,1,3,2,1,1,0
2012/09/08,1,0,2,4,2,1,1,0
2012/09/09,0,0,2,4,2,3,4,1
2012/09/10,1,0,0,2,2,3,3,0
2012/09/11,2,0,0,2,2,6,10,4
2012/09/12,8,1,0,1,1,2,2,0
2012/09/13,1,0,0,1,1,1,1,0
2012/09/14,1,0,1,2,1,1,1,0
2012/09/15,0,0,1,2,1,1,1,0
2012/09/16,0,0,1,2,1,5,6,1
2012/09/17,5,0,0,1,1,2,6,4
2012/09/18,6,0,0,1,1,2,3,1
2012/09/19,3,0,0,1,1,3,5,2
2012/09/20,9,1,3,3,0,1,1,0
2012/09/21,1,0,3,4,1,1,1,0
2012/09/22,2,0,4,5,1,0,0,0
2012/09/23,0,0,4,5,1,7,7,0
2012/09/24,4,0,0,1,1,7,8,1
