date,commits,self_review,waiting_first_review_staff,waiting_first_review_total,waiting_first_review_volunteer,waiting_plus2_staff,waiting_plus2_total,waiting_plus2_volunteer
2012/10/22,0,0,0,0,0,0,0,0
2012/10/23,0,0,0,0,0,1,1,0
2012/10/24,3,0,0,0,0,0,0,0
2012/10/25,1,0,0,0,0,6,6,0
2012/10/26,5,0,0,0,0,0,0,0
2012/10/27,0,0,0,0,0,0,0,0
2012/10/28,0,0,0,0,0,5,5,0
2012/10/29,8,0,0,0,0,7,7,0
2012/10/30,9,0,0,0,0,2,2,0
2012/10/31,2,0,0,0,0,0,0,0
2012/11/01,0,0,0,0,0,7,7,0
2012/11/02,9,1,0,0,0,0,0,0
2012/11/03,0,0,0,0,0,0,0,0
2012/11/04,0,0,0,0,0,4,4,0
2012/11/05,4,0,0,0,0,0,0,0
2012/11/06,1,0,1,1,0,0,0,0
2012/11/07,0,0,1,1,0,1,1,0
2012/11/08,2,0,1,1,0,0,0,0
2012/11/09,0,0,1,1,0,0,0,0
2012/11/10,0,0,1,1,0,0,0,0
2012/11/11,0,0,1,1,0,0,0,0
2012/11/12,1,0,1,1,0,16,16,0
2012/11/13,15,2,0,0,0,7,7,0
2012/11/14,7,0,0,0,0,1,1,0
2012/11/15,2,0,0,0,0,6,6,0
2012/11/16,8,0,0,0,0,0,0,0
2012/11/17,0,0,0,0,0,0,0,0
2012/11/18,0,0,0,0,0,9,9,0
2012/11/19,9,0,0,0,0,11,11,0
2012/11/20,13,1,0,0,0,5,5,0
